abate|vt.&vi. [正式]（使）减弱
strength|n. [U]（人或事物所具有的）权力和影响力，即实力
strong|adj. 1（自然力或物理力）强的，强劲的
subject|adj. subject to sth 很可能受…影响的（尤指很可能受坏事影响的）
substance|n. [U] 事实基础、事实根据
subtle|adj. 组织得巧妙的
subtlety|n. [U] 做事方法的巧妙
suggestion|n. [U, C, usually sing.] 认为某事（尤指坏事）属实的一个理由，相当于hint
susceptible|adj. [名词前不常用] ~ (to sb/sth) 极易受影响的
tact|n. [U]（言谈举止、处事方法的）老练（即能巧妙地处理难题或尴尬局面而不得罪各方）
tell|vi. tell (on sb) 对…产生影响或效果（尤指负面影响或效果）。不太常用
tender|adj. 容易损坏的、脆弱的
then|adv. 用于表明某一陈述或情况的逻辑结果，即那么，因此
there|adv. there to do sth 表示一个人或事物在某一情况中的作用或角色
therefore|adv. 因此，所以（用于引出所述内容的逻辑结果）
through|prep. 因为，由于
thus|adv. [正式] 因此，所以（用于引出所述内容的结果），相当于hence和therefore
tickle|vt. 使某人产生兴趣、想象力等
to|infinitive marker. 1 表示一个动作紧接着另一个动作
to|infinitive marker. 表示某事的原因
to|prep. 用于引出行为的受试者或受体（可以是人或事物）
to|prep. 用于表示某人对…的态度或反应
trained|adj. 受过训练的
trap|vt. 强迫某人或某事物进入到其不能逃脱的某地或某种情况（尤指为了将其捕捉）
trigger|n. [C] ~ (for sth) / ~ (to sth/to do sth)（尤指引发不良反应或发展的）起因，诱因
trigger|vt. ~ sth (off) 使某事突然发生，即引发
turkey|n. [C] [非正式] 无用的人，也可叫草包
unable|adj. [较正式] unable to do sth 不用于名词前，没有技能、力量、时间、知识等去做某事的
unbeatable|adj. 1（团队、运动员等）难以击败的
under|prep. 受…影响
undermine|vt. 间接削弱体制等
unproductive|adj. 产量少的；没产生好结果的
unqualified|adj. ~ (to do sth) / ~ (for sth)（某人在知识、经验或资质上）不合格的、没资格的
useful|adj. [英，非正式] 好的；合格的。相当于competent
useless|adj. [非正式] useless (at doing sth) 在某事上不是很擅长的；不能把事情做好的
useless|adj. useless (to do sth) / useless (doing sth) 没有用处的，无用的；做不到（或达不到）所需的，徒劳的，无效的。是一个基础用词
vain|adj. 不产生自己想要的结果的，即徒劳的，相当于useless。是一个常规用词，常用于“in vain”这种结构中
valueless|adj. [正式] 没有价值的、不值钱的、无用的
villain|n. [C] [英，非正式] 坏事的起因
virtuoso|adj. [只用于名词前]（演奏或展示）技艺精湛的
void|adj. [法律]（合同、协议等）无效的
vulnerability|n. [U] ~ (of sb/sth) (to sth) 易受攻击性、脆弱性
vulnerable|adj. 1 ~ (to sb/sth) 身体或精神上脆弱的、易受伤害的、易患病的
wane|vi. 逐渐变弱或变得不重要
warrant|n. [U] [正式]（常用于否定句）~ (for sth/for doing sth) （做某事的）正当理由
weak|adj. 1（物体或表面）不能承受很大重量或抵抗力的（即不坚固的、不牢固的）；易破的，易损坏的
weak|adj. 不善于或不擅长于某事的；（能力）弱的
weak|n. [pl.] the weak可指贫穷、患病或没有能力的人，即穷人；病人；弱者；弱势群体
weaken|vt.&vi.（使）实力、权力、效力等变弱
weakness|n. [U] 缺乏力量、权力、影响力或决心的，如软弱；虚弱；疲软；衰弱；懦弱等
weigh|vi. weigh (with sb) (against sb/sth) 对某人的看法或某事的结果有影响
weight|n. [U] 影响力；力量
welcome|n. [C] 人们对某事的反应方式（该反应方式表明了其对该事件的看法）
wet|adj. [英，非正式，贬] 指人缺乏强势性格的，即窝囊的
wet|n. [C] [英，非正式，贬] 指缺乏强势性格的人，即窝囊废
when|conj. 考虑到，既然
whip|vt. 故意激起情绪
why|adv. 1 用于疑问句，以询问…的原因或目的，即为什么，为何
will|modal verb. 1 用于叙述一般或普遍的真理
willing|adj. 以热情的方式被执行或被给予的，如积极的
with|prep. 由于，因为
work|n. [U] 行动的结果，某人的作为
work|vi. 1 work (on sb/sth) 产生想要的结果或作用
worm|n. [C, usually sing.] [非正式，贬] 一个常由于懦弱的性格等而为你所讨厌且不放在眼里的人，即懦夫，可怜虫
worthless|adj. 没有实际价值（或经济价值）的、没用的
worthless|adj.（人）没有有用的技能的
would|modal verb. 1 用于谈论（你所想象的事件的）结果或影响
