abandon|vt. 停止做某事（尤指在其结束之前），即中止；也可指停止拥有某事物，即不再拥有
hold|vt. 1 使…保持在某个姿势或位置
hold|vt. 后接train或lift等词时，hold可表示延迟或推迟。一般为主动推迟，是一个简单用词
hold-up|n. [C] 造成短时延迟的事物、阻碍、障碍
home|n. [sing.] the home of sth 某事物被首先发现、制造或发明的地方，即发祥地、发源地
homework|n. [U] [非正式]（为某事所做的）准备工作
hurdle|n. [C] 某人为达成某事所必须克服的难关、障碍
impasse|n. [usually sing.]（人们之间因为未达成一致而陷入的）僵局
impede|vt. [常用被动式] [正式] 拖延或阻止某事物的进程，使某人或某事物的移动、发展或进程变得困难
impediment|n. [C] ~ (to sth) 对某事的进程其拖累或妨碍作用的事物，即妨碍、阻碍、障碍
impenetrable|adj. 不可进入的；无法穿过的；（视线）无法透过的
impervious|adj. [术语] ~ (to sth)（液体或气体）不能渗透过去的，如不透水的；不透气的
impinge|vi. [正式] ~ (on/upon sth/sb) 对…有明显作用（或影响），尤指有坏的作用（或影响），如妨碍
improve|vt.＆vi. 变得比以前更好；使某人或某事物比以前更好。如改进、改善。是一个常规用词
improvement|n. 1 [U] ~ (in/on/to sth) 改善；改进
impulse|n. [C, usually sing., U] [正式] 某件事的推动力、刺激因素
inaccessible|adj. 1 ~ (to sb/sth)（地方）难以达到的；不可（或不易）进入的
inaugurate|vt. [正式] 引入一个新的发展阶段或重要变革，如开创、开始
inauguration|n. [U, C] 开始；开创
incomplete|adj. 没完成的
infancy|n. [U] 初创期
infant|adj. [只用于名词前]（组织、运动等）新出现且尚未充分发展的，如初创期的
inherit|vt.&vi. ~ (sth) (from sb) 继承（逝者的金钱、财产等）
inheritance|n. [C, usually sing, U] 遗产继承
inhibit|vt. 阻止某事发生，或使其发生得比正常情况更慢或频率更低，即阻止、阻碍、抑制
inhibition|n. [U] [正式]（对一个过程或行动的）阻止、抑制
initial|adj. 只用于名词前，在开始发生的，最初的，开始的，第一的
initiate|vt. [正式] 使某事发生，即发起、创始
initiation|n. [U] [正式] 开始、发起
innovation|n. 1 [U] ~ (in sth)（新事物、思想或方法的）创造；创新
inscription|n. [C] 被刻在墓碑上的文字，如碑文
institution|n. [U] 建立或制定一个新的体系、制度、法律、规程等
insurance|n. [U, C] insurance (against sth)（为防止将来发生坏事而采取的）预防措施
insure|vt. insure sb against sth 可表示预防将来发生的坏事
interfere|vt. ~ (in sth) 干涉、干预、插手、介入（某事）
interference|n. [U] ~ (in sth) 干涉、干预、介入
interpose|vt. ~ sb/sth (between A and B) [正式] 将某事物置于两个人或事物之间进行干涉
interrupt|vt. 使…停止一小段时间，使…暂停
interrupt|vt. 阻断或遮挡（均匀或连续的线条、平面、景色等）
interruption|n. [C, U]（一项活动的）中断时间
intervene|vi. ~ (in sth)（某人、某个组织机构或国家）出面、介入、干涉、干预某事（以改善局面或提供帮助）
intervention|n. [U, C] ~ (in sth) 干涉、干预
invasion|n. [C, U] 对某人或某事的干预、干扰
inventive|adj. 1（尤指人）能想到新奇有趣的主意的
involvement|n. [U] ~ (in/with sth) 插手；介入
jump|n. [C] 进展
keep|vt. [正式] keep sb (from sth) 阻止。是一个简单用词
keep|vt. 使某人耽搁或延误。是一种主动耽搁、耽误（造成耽搁的因素常是事件）
keep|vt.＆vi. 1 处于某种条件、状态或位置；使…处于某种条件、状态或位置。即保持。是一个简单用词
kill|vt. 破坏某事使其停止
knock|vt. 使某人失去某一品质、性格或特征
lament|n. [C] [正式]（为去世的人或终结的事所做的）挽歌、哀诗、悼词
land|vi. 非正式用法，指某事物意外出现在（或到达）某地，常引起问题
lapse|vi.（合同、协议等）因期满而失效
last|adj. 最后（发生或来到）的，末尾的
last|adv. 最后，最终
last|pron. the last 最后到来（或知道某事、做某事）的人；或最后发生的事
last|vt.＆vi. 1 last (sth) (out)（尽管存在困难）坚持下去，设法撑下去或活下去
late|adj. 1 只用于名词前，接近一段时间、一个人的生命等的末尾的
late|adj. 只用于名词前，（一个人）已故的
late|adv. 1 晚于预期的时间；晚于事先安排的时间；晚于通常的时间
latter|adj. 一个时间段内的后半期的，或接近一段时间的结尾（而非开始）的
launch|n. [usually sing.] 航天器或武器的发射；船的下水；产品的上市；事件的发起
launch|vt. 开始从事一项活动，尤指发起有组织的活动
lay|vt. 1 与一些名词连用，以谈论为某事做正式的准备。如奠定基础或制定规划等
leave|vt. 1 死后遗留下（家人）
leave|vt. 不立刻去做（或处理）某事，即把某事留到某一时刻才去处理。是一个简单用词
lifeless|adj. [正式] 死的；像是死的
lift|vt. 解除…的限制、撤销法律或规则
limp|vi.（组织机构、进程）缓慢或艰难地进展
linear|adj. 通过线性的形式来发展
linger|vi. ~ (on) 仍然活着但是变得更弱，如苟延残喘、奄奄一息
loom|vi.（庞然大物或形状模糊之物）出现，尤指令人惊恐地隐现
loss|n. [C, U] 一个人的去世，死亡
maintain|vt. 使某事继续保持在相同的水平上，如维持、保持
maintenance|n. [U] ~ (of sth) 维持、保持（某种状态）
make|vt. 写；出产；制定（规则、法律等）
manage|vi. manage (on sth) 没有很多金钱而能够活下去
manifestation|n. [C] [正式]（幽灵的）显现、出没
manufacture|vt. [术语] 产生、生产一种物质
march|n. [C] the march of sth为单数名词，表示某事物的稳步发展或进展，常为比喻用法
materialize|vi. 突然显现；神奇（而无法解释）地突然出现
mature|vi. mature (into sth) 使（技能或素质）成熟，即充分发展
meet|vt. 遇到（情况、态度、问题等不愉快的事）
melt|vt.&vi.（使）情绪、气氛等缓和、消失、消散、平息
moratorium|n. [C] ~ (on sth)（尤指官方协议所规定的）（某项活动或行动的）暂停、中止（且中止期限一般固定）
mortal|adj. 终将死亡的、不能永生的
mortality|n. 1 [U] 在某种情况中（或在一段时间）的死亡数量、死亡率
mount|vt. 组织或发起一场活动
mourning|n. [U] 丧服
move|vi. move (on/ahead)（在某条路径或某个方向上）取得进展，前进，进步，相当于progress
movement|n. [U] movement (in sth) 进步（尤指某一任务的进展）。表此义时不常用
mummy|n. [C] 经处理保存的人（或动物）的干尸，即木乃伊
net|adj. 只作前置定语，最终的，指在包含了所有细节或重要事实之后而最终得到一个结果的
nurture|vt. [正式] 长时间发展、孕育（一种感情、思想、计划等）
obituary|n. [C]（报纸上或广播里的）讣告，讣闻
obliterate|vt. [常用被动式]（通过彻底毁坏或覆盖的方式）清除某事物（如一个物体、地方、记忆、感情或想法）的所有痕迹或标记
obliterate|vt. [常用被动式]（通过彻底毁掉或覆盖掉）清除某事物的印记
obscure|vt. 使…难以被看到或听到
obstacle|n. 1 [C] ~ (to sth/to doing sth)（阻止某人达成某事的）障碍、绊脚石
obstruct|vt. 阻挡道路、入口、通道等（使…不能通过）
obstruction|n. [C]（道路、入口等处的）障碍物
obstruction|n. [U, C] 妨碍、阻碍，通常指对生意、法律或政府事务的蓄意阻挠或妨碍
obstructive|adj.（某人）故意刁难的、蓄意阻挠的
occur|vi. [正式] 发生
occur|vi. 在某处出现
occurrence|n. 1 [C] 发生的事情
off|adv. 1 用于表示某事物已被除去
off|adv. 未连接起来；或不运转
off|prep. 1 [非标准英语或美国英语，非正式] off of 来源于；从
off|prep. 不想要或不喜欢自己通常所食用或使用的东西，可称作戒除
omission|n. 1 [U] ~ (from sth) 不包括、不做某事；不被包括、某事不被做。如省略；删节；排除
omit|vt. [正式] ~ sth/sb (from sth)（故意或无意地）未将…包括在内，如删除、省略、排除
on|adv. 用于表示某事在持续中
onset|n. [sing.]（尤指坏事的）开始、开端
open|adj. 1 open (to sth) 尚未最终决定的，待决定的
open|vi. 为人们前来而做准备，即准备接待
opening|adj. 只用于名词前，开始的；开篇的；第一。与closing相反
opening|n. [C, usually sing.] 某事物的开始、开端或第一部分，与ending相反
organic|adj. [常用于名词前] [正式]（发生）逐渐而自然的
origin|n. [C, U]（也可用复数的origins）某事物的起源，源头
original|adj. [只用于名词前] 存在于（某个时期、过程或活动的）最初阶段的，即起初的
original|adj. 独创的、有独创性的
originality|n. [U] 原创性、创意
originate|vi. [正式] 在某地或某种情况中头一次发生或出现，即起源、发源于
originate|vt. [正式] 创立、创建、发明新事物
out|adv., prep. 1 out of sth/sb 来自于
out|adv., prep. out (of sth) 清除
out|adv., prep. 结束
outbreak|n. [C] 坏事（尤指暴力、疾病等）的突然发生、爆发
outburst|n. [C]（暴力活动或态度的）突发
outfit|vt. [常用被动式] [尤美] ~ sth/sb (with sth)（为了某一目的）向某人或某事物提供装备
outstanding|adj.（款项、工作、困难等）尚未支付的、尚未完成的、尚未解决的等
over|adv. 1 结束
over|prep. 渡过（某一艰难阶段或局面）
overdue|adj. 1（到期）未做的，未偿还的等，即过期的
pass|vi. 1 允许…发生
pass|vi. 结束，完结
passage|n. [U]（某人或某事物在其发展过程中）从一种情况、状态或阶段过渡到另一情况、状态或阶段
passing|n. [U] [正式] 某事物的结束或消亡
passing|n. [U] [正式] 某人的逝世
pause|n. [C] pause (in sth) 某人说话或做事过程中的一段暂停的时间
pause|vi. 说话或做事的过程中短暂停止（然后再继续），即暂停。是“暂停”的常规用词
perfect|vt. 使某事物完善或完美，或尽己所能来变得完善或完美
perfection|n. [U, sing.] 为使某事物更完美而做的最后阶段的加工，如完善
period|adv. [尤美] 用于句末，强调不再就某个主题而多说，即到此为止，就是这样
perish|vi. [文学]（人或动物）死亡，尤指由于严酷的条件或惨烈的事故而突然暴死
perish|vi. [正式] 丧失；毁灭、湮灭
perish|vt.&vi. [英]（使）物质或材料（如橡胶等）损坏、老化（如脆裂或充满很多孔洞）
persevere|vi. ~ (in sth/in doing sth) / ~ (with sth/sb) [褒] 尽管艰难而依然继续做某事或达成某事，即坚持不懈、锲而不舍、孜孜以求
persist|vt.&vi. ~ (in sth/in doing sth) / ~ (with sth) 尽管有困难和反对，仍然近乎顽固地继续做某事，如顽强地坚持、执着地做
persistence|n. [U]（尤指在别人不看好的情况下的）在困境中的坚持、锲而不舍
persistent|adj. 尽管有困难但依然决心去做某事的（尤指做此事时遭遇到别人的反对），即执着的
phase|vt. [常用被动式] 在一段时间内分阶段做某事
pick|vt.（尤指用手指）摘掉，剔除或掐去某物，如从…上摘掉小片或小块…
pike|n. [sing.] [美，非正式] come down the ~ 发生、显现
pilot|vt. 测试一项产品或想法等，或政府或组织试行一项计划或方案
pioneer|n. 1 [C] pioneer (in/of sth) 知识、文化等领域的先锋人物、开拓者、创始人，相当于trailblazer
pioneer|vt. 当开拓者或先锋（去做某事、发现或使用新东西等）
pitch|vt. 短时间搭建帐篷或扎营
plateau|n. [C]（一段时间的增长或发展后的）停滞期（此时变化极小，或不发生变化）
plateau|vi. ~ (out)（在一段时间的增长或发展后）处于停滞状态
play|n. [U] [文学]（光或笑容）轻快的运动，同时在运动中保持变化，即闪烁；闪现
play|vi.（光或微笑）快速且轻轻地运动或出现，且方向和形状常发生变化，即闪烁；掠过；浮现
please|exclamation. [非正式，常幽默] Please!用于让某人停止不规矩的行为
poised|adj. 1 [不用于名词前] ~ (on, above, over, etc. sth) / ~ (to do sth)（人或动物的姿势）处于静止状态但是随时准备移动的
pool|n. [C] pool (of sth) 需要的时候随时可用的一群人（有时可称后备人员）
pop|vi.（尤指让人意想不到地）突然出现
postpone|vt. postpone sth (to/until sth) 将活动或事件等安排在比原计划更晚的一个时间或日期，即推迟；延期。是一种主动的推迟
postponement|n. [C, U] 推迟、延期
practical|n. [C] [英，非正式] 科学或技术中的一次实践性课程或考核（学生需要动手去做，而非仅仅去阅读或写作）
precaution|n. [usually pl.] ~ (against sth) 预防措施
preclude|vt. ~ sth / ~ sb from doing sth [正式] 阻止某事发生；阻止某人做某事；使某事成为不可能
preface|vt. [正式] ~ sth by/with sth / ~ sth by doing sth（在讲话、回答问题等之前）说开场白
preliminary|adj. ~ (to sth)（在重要事情发生前）预备性的
preliminary|adj. ~ (to sth)（在重要事情发生前）预备性的；初步的；开始的
preliminary|n. [C] ~ (to sth) 初步行动（或活动）；预备性措施
preliminary|n. [C] ~ (to sth) 预备性措施
prelude|n. [C] ~ (to sth) 某事的前奏、序幕、先声。算是一种比喻用法
preparation|n. 1 [U] preparation (for sth)（行为或过程意义上的）为某事所做的准备，或使某事物准备好。即准备、预备
prepare|vt. prepare sth/sb (for sb/sth) 使某事物或某人准备好（被使用或去做某事）
prepared|adj. 1 [名词前不可用] ~ (for sth) 准备好（去做某事）的；对某事有所准备的
presence|n. [C, usually sing.] [文学] 感觉在附近的鬼魂
present|vt. present itself (to sb)（机会、答案等）突然出现、显露或产生，相当于arise
prevent|vt. prevent sb/sth (from doing sth) 防止某人做某事；防止某事发生。是一个常规用词
prevent|vt. prevent sb/sth (from doing sth) 阻止某人做某事；阻止某事发生。具体可称为阻止、阻碍、阻挠等
preventable|adj.（坏事）可以预防的
prevention|n. [U] 预防、防止
primary|adj. 常用于名词前，最初发展（或发生）的、最早的。不如initial常用
procedure|n. 1 [C, U] procedure (for sth) 做某事的一种方式，尤指通常或正确的方式，如程序、手续、步骤
proceed|vi. ~ (with sth) 继续做（某件已经开始的事）
process|n. 1 [C] 为达到某一结果而做的一系列事情，即过程。是一个常规用词，极为常用
productive|adj. [正式] ~ of sth 创造…的；生产…的；产生…的
progenitor|n. [C] [正式]（人或动、植物等的）祖先
progenitor|n. [C] [正式]（思想或发明的）创始人、鼻祖
progress|n. [U] 提高（或发展）的过程；或接近于取得某成就（或完成某事）的过程。即进步，进展，进度，进程
progress|vi.（在一段时间内）进步，进展，改进，相当于advance
progression|n. [U, C] ~ (from sth) (to sth) 发展、进展
progressive|adj. 稳步发生或发展的，如（疾病）进行性的
progressive|adj.（在思想、方法、改变等方面）进步的
progressive|n. [usually pl.] 喜欢新思想、新方法或改革的人，即进步人士、开明人士、改革派人士
prohibit|vt. [正式用法] prohibit sth / prohibit sb from doing sth 使某事不可能发生，即阻止，相当于prevent，但prevent为及物动词，且prevent更为常用
prologue|n. [C] 事件的序幕或开端
promote|vt. 促使某事发生或发展，即促进，推动，相当于encourage。是此义的常规用词
promotion|n. [U] [正式] ~ of sth 鼓励人们相信某种价值观、相信某事物之重要性的活动，或帮助某事成功的活动，如促进
proof|adj. 1 [正式] ~ against sth 对某事物的破坏性（或有害）的效果有抵御能力的
proof|vt. 给某事物（尤指织物）放上一种特殊物质，使其能够对水、火等起防护作用
prosecute|vt. [正式] 继续参与某事或继续做某事
provision|n. [U, C] ~ for sb/sth（为将来做的）准备，预先采取的措施
pull|vt. [非正式] 取消一次活动或事件；撤销广告等
purge|n. [C] 对组织机构内的异己分子进行的清洗（常是暴力清洗）
purge|vt. ~ sth (of sb) / ~ sb (from sth) 清除一个组织机构中的异己分子（通常使用暴力手段，因为这些人的想法或活动对于组织内的当权者来说不可接受）
push|vt. 1 影响…（如价值、数量等）使其达到某个水平或状态，即推动，促使
race|vt.＆vi.（向某个状态）快速运动；使…快速运动
rage|vi. ~ (on)（暴风雨、战斗、争论等）猛烈地继续
raise|vt. raise sb (from sth) 使某个死去的人起死回生，使复活。词义与rise无明显区别，只是raise为及物动词，而rise为不及物动词
raise|vt. 通过筹措资金或召集人员的方式来组建
raw|adj. 1 常用于名词前，（材料）处于自然状态的，未经改变（或使用、制成其他东西）的
reaction|n. [U] [贬] 对社会（或政治）发展（或变革）的反对、反动、阻碍
reactionary|adj. [贬]（在政治或社会变革方面）反动的、保守的
readiness|n. [U] ~ (for sth) 为某事做好准备的一种状态，如准备就绪
ready|adj. 1 ready (for sth) / ready (to do sth) 不用于名词前，（对自己将要去做的事情）完全准备好。是一个常规用词
ready|adv. 用于过去分词前，尤用于构成复合词，指已做完，已完成
ready|vt.＆vi. [正式] ready sb/yourself/sth (for sth) 为某事做准备
rebuild|vt. 重建
refine|vt.（通过做出一些小的改变来）改进、改善（过程、理论或机器等）
refined|adj.（机器或过程）经过完善的、经过提升的
refinement|n. 1 [C] 精细的改变或改进
reform|vt.＆vi. 改进自己或别人的行为
rehabilitate|vt. 使某人戒毒或戒酒
reinforce|vt. 强化（一种印象、感情、思想、行为、情况等）
reinforcement|n. 1 [U, sing.]（尤指感情或思想等的）巩固，加强，强化
remain|linking verb. [正式] 仍然是（某事物）；仍然处于相同的状态或情况中
removal|n. 1 [U] ~ (of sb/sth) 将…从某地移开
remove|vt. 1 remove sth/sb (from sth/sb) 将…从某地移开、拿开等
repeat|vt.＆vi. repeat (itself) 以同样的方式发生超过一次，即重复发生，再次发生
repellent|adj.（构成复合词）隔绝某种物质的，尤指防水的
reprieve|n. [usually sing.] 坏事发生前的暂缓、延缓
reprieve|vt. [常用被动式]（通常不用于进行时）官方取消关闭…的计划；官方暂缓关闭…的计划
reproduce|vt. 再次产生；以相同的方式使某事再次发生
resource|n. 1 [C, usually pl.]（一个国家、组织机构或个人所利用的）资源（尤指用于增加财富）
respite|n. [sing., U] ~ (from sth)（从难事或坏事之中的）短暂的停止
rest|vi. 停止讨论或处理一件事，即被搁置
rest|vi. 被埋葬（be buried的委婉说法）
restrain|vt. ~ sb/sth (from sth/from doing sth)（尤指通过武力）制止、阻止
restrain|vt. 控制、抑制…的增长（以防止其变得太大）
resuscitation|n. [U] 人的复苏、恢复知觉
retain|vt. [更正式] 保持
retard|vt. [正式] 使某事的发展或进程变慢，即阻碍；减缓
reversal|n. [C, U]（决定、法律等的）撤销
reverse|vt. 撤销，废除（决定、法律等）
revive|vt.&vi.（使）生物复苏，恢复意识
revoke|vt. [正式] 正式取消、废除或撤销…（如许可、法律、协议等）
rid|vi. 1 [正式] be rid of sb/sth 摆脱（一直以来令自己烦恼或自己不想要的人或事物）
rise|n. 1 [sing.] rise (of sb/sth)（重要性、成功、优势、权力等的）增强
rise|vi. 变得更成功、更重要、更强大等，如崛起
rise|vi.（死人）复活，再生
roadblock|n. [C] [美]（对计划的实施起阻碍作用的）障碍
root|n. [C, usually pl.] …的起源，或基础、根基
rooted|adj. [澳大利亚，俚语] 老旧无用的；破得不能用的
rooted|adj. ~ in sth 起源于…的；由…产生的；受某事的强烈影响的
rough|vt. [非正式] rough it 可指在短时间内过艰苦的生活，或称渡过暂时的难关
rude|adj. [正式] 只用于名词前，突然的、令人不悦的且意想不到的
rule|vt. rule sth out 作为短语可指将…排除在外
run|vi. 在某个时间发生
sacrifice|n. [C, U] 人命的牺牲；也可指被舍弃的人命
sacrifice|vt. sacrifice sth (for sb/sth) 为更重要或更有价值的事物而牺牲或舍弃…
scatter|vt.&vi.（使）人或动物朝不同方向快速散开
scorch|vt.&vi.（使）…（尤指因太阳曝晒或化学品的作用）枯黄、枯萎
scrap|vt. [常用被动式] 取消不再有用的东西
scratch|vt.＆vi. scratch (sb/sth) (from sth) 在…开始之前就决定该事不能发生，或…不能参加或加入…，即取消，撤销，退出。算是一种形象化用法，还算常用
scrub|vt. [非正式] 取消原有安排
see|vt. 在一些表达法中可表示“试试看”
seed|n. [C, usually pl.] [文学] seed (of sth) 一种感情或过程、发展的起源（起源之后便逐渐发展起来）
seek|vi. [正式] 尝试去做某事，相当于attempt，但seek此时仅为不及物动词
seep|vi. 某事物（如不快情感、疼痛、电力等）逐渐释放、逐渐缓解、逐渐跑光
set|adj. set for sth / set to do sth 为某事或为做某事做好准备的
set|vt. 1 树立榜样或标准（以使其他人仿效该榜样或达到该标准）
shade|n. [C] [文学] 一个死人的鬼魂；阴魂；幽灵；鬼
shake|vt. shake sth (off) 去除或摆脱…
shape|vi. 准备做某事，尤指准备击打或踢…
sharpen|vt.＆vi. 1 sharpen (sth) (up) 变得比以往更好、更熟练、更有效等；使…变得比以往更好、更熟练、更有效等。即改进，提高，相当于improve
shed|vt.（常用于报章）去除、摆脱（不想要的东西）
short|adv.（时间或进程）中断；过早地（终止）
shot|n. [C] shot (at sth/at doing sth) 常用单数，非正式用法，指尝试（去做某事或实现某个目标）
show|vi. 如约赶赴某地去见某人或做某事，为非正式用法，尤用于北美
shrine|n. [C]（缅怀逝者的）纪念之地、圣地
shroud|n. [C] 裹尸布；寿衣
sideline|vt. [常用被动式] 把…排除在核心之外；使靠边；不重视
sieve|vt. 筛；过筛；滤
sift|vt. 筛（面粉、沙子等颗粒较细的物质）
simmer|vi.（争论、分歧、冲突等）酝酿、即将爆发
skim|vt. ~ (sth off/from) sth 从液体表面撇去油脂、乳脂、沫子等
smash|vt.&vi. 哗啦一声打碎（或被打碎）
snap|n. [C] 断裂的声音，喀嚓声
snap|vt.&vi. ~ (sth) (off)（使）喀嚓一声断掉
snooker|vt. [常用被动式] [英，非正式] 使某人的计划落空、阻挠某人做某事（尤指其想做的事）
snuff|vt. ~ it（人）死去
solidify|vt.&vi. ~ (into sth) [正式]（思想、观念等）（使…）变得坚定或稳固、巩固
sophisticated|adj.（机器、体系等）先进的
sophistication|n. [U]（机器、方法等的）先进
soul|n. [C] 人的灵魂。是此义的常规用词，最为常用
source|n. 1 [C] 来源、出处
spare|adj. 只作前置定语，备用的；外加的
spare|n. [C] 备用品，尤指汽车的备用轮胎
spectre|n. [C] [文学] 鬼；幽灵
spirit|n. [C]（人们认为人死后不会破灭的）灵魂，鬼魂，幽灵（表“灵魂”时，相当于soul，二者此时未见明显区别，只是soul为常规用法）
spring|vi. 是…的结果，即起源于…
spring|vi. 突然出现或来到某处
spur|vt. 促进某事更快或更早发生
stab|n. [usually sing.] ~ (at sth/at doing sth) [非正式] 尝试、企图
stage|vt. 使某事发生
stagger|vi. 勉强维持
stagnation|n. [U] 停止发展或进步，如停滞
stall|vt.&vi.（使）（进程）推后、暂缓
stall|vt.&vi.（使）（进程）暂停、搁置、停顿
stand|vi. 一个提议、决定、法律等仍然有效
standstill|n. [sing.]（所有活动或运动的）停止、停顿、停滞
start|n. 1 [C, usually sing.] 某事开始的一个时间点，即开始，开端
start|vt.＆vi. 1 开始做某事，或开始使用某东西。侧重于强调“开始”这一事实
start|vt.＆vi. start (sth) (up) 创办（机构等）。也是一个基础用词，与begin一般可互换
starter|n. 1 [C] 开始进行某项活动的人
static|adj. 停滞的
stay|vt.＆vi.（在某种状态或情况中）继续是…或保持某种状态，相当于remain
stem|vi. ~ from（不用于进行时）起源于、来自
stem|vt. 阻止（流动的东西扩散或增长）
stiff|n. [C] [俚语] 死尸
still|adv.（在时间或状态上）还；还是；仍然；依旧
stop|n. [sing.] 使停止
stop|n. [sing.] 停止，使停止，被停止等
stop|vt. 1 使…不再运动。即使停止
stop|vt.＆vi. 1 不再运动；使…不再运动。即停止；使停止。是一个常规用词，含义最广，也最常见
stoppage|n. [C]（体育）因某个原因而中断比赛
strangle|vt. 阻止某事的发展，如抑制、压制、扼杀
strengthen|vt.＆vi. 变得更强；使某人或某事物更强。如加强，巩固，增强；反义词为weaken
stretch|vt. 大量地使用金钱、时间、供应物等，如耗尽、竭尽
stride|n. [C]（快速的）进展、进步、发展
strip|vt. ~ sth (off) / ~ A (off/from B)/~ B (of A) 从某事物上除去一层（尤指使其完全暴露）
stroke|vt. 把某事物轻轻地弄走
stunt|vt. 阻碍某人或某事物的正常生长或发展，如遏制
subject|n. [C]（尤指在实验中）用于接受研究的实验对象，即受试者（可以是人，也可以是事物）
submerge|vt. 完全掩盖或湮没思想、感情、观点等
submerged|adj.（思想、感情、观点等）湮没的、掩盖的
succeed|vi. succeed (to sth) 从故去的某人那里获得爵位权、财产权等，即继承
succession|n. [U] 继承权
sudden|adj. 快速且意外的，即突然的，骤然的。是此义的常规用词，最为常用
sunset|adj. [只用于名词前]（某事）最后期的
sunset|n. [C]（法律或法律效力的）自动废止期、效力消减期
suppress|vt. 压制、阻止、抑制（某事生长、发展或继续），尤指制止，阻止，抑制（身体的功能或反应）
surface|vi.（新闻、感情、问题等）被隐藏一段时间后突然出现（或突然变得明显），相当于emerge
survivor|n. [C]（死者的）尚在世的家人，遗属
suspend|vi. ~ (on/over sth) 尽量避免做某事或回答问题而使自己拥有更多时间，即故意拖延（以赢得时间）
suspend|vt. 正式暂停一段时间；使暂停发挥作用（或使用等）
suspension|n. [U, sing.] 将某事推迟一段时间的行为（直到做出下一个决定），即暂缓；推迟；延期（可以是主动“推迟”，也可以是被动“延期”）
sustain|vt.（提供足够的…以）维持生命或存在
swallow|vt. swallow sb/sth (up) 常用被动式，把某人或某物弄进来，或将其完全覆盖（使其不能被看到或不再单独存在）
table|vt. [美] 将计划、提议等搁置（至一个晚些的日期进行讨论）。与leave难见明显差别。但没有leave常用
tardy|adj. 晚的；迟到的
taste|n. [sing.] 对…的短暂经历，即体验，尝试
tax|vt. 需要耗费大量体力或脑力
terminal|adj. [正式或术语] 常用于名词前，处于一段时间的末端的
terminate|vt.&vi. [正式]（使）某事停止
termination|n. [U, C] [正式] 结束、终止；末端
testament|n. [C] [正式] 遗嘱，相当于will
thaw|vt.&vi. ~ (out)（使）（关系、气氛等）回暖，缓和，改善，即变得更友好且更不受拘束
threadbare|adj.（织物、衣服、地毯等）穿旧的、磨薄的
threshold|n. 1 [C] 某事发生、改变或开始产生影响的一个水平、数量、限度等，如阈、界、起始点
through|adj. [尤美] through (with sth/sb) 不作前置定语，用于表示某人已完成了某事，或已与某人断绝了一种关系
through|prep. 从一个活动、情况、时间的开始到结束，即从始至终，从头到尾
through|prep. 完成
thwart|vt. [常用被动式] ~ sth / ~ sb (in sth) 阻止某人去做其想做的事
tighten|vt.&vi.（使）（政府或组织机构）严格控制（一群人或一项活动）
tilt|n. [C]（意欲赢得某物或战胜某人的）企图，尝试
toll|vt.&vi.（某人去世后）鸣丧钟
tomb|n. [C] 大型坟墓（尤指在地上或地下用石头建成的墓穴）
touch|vt.（在某人的脸上）短暂闪过，闪现，掠过
tough|vt. tough sth out可指在一种困难情况中坚定地撑下去，牢牢地挨过去或坚持下去等
trespass|vi. be ~ing on sth（某人）干涉、插手、妨碍某事
trial|n. [C, U] 尤指在做出最终决定前，对…的能力、质量、品质、性能等所做的试验或试用
trial|vt.＆vi. 英式英语中指测试…的能力、质量、品质或性能等，看其是否有效或成功
tribute|n. [U, C] ~ (to sb) 对逝者表达敬意或仰慕的一个行为、陈述或礼物
truce|n. [C]（短时的）停止争吵
try|n. [usually sing.] try (at sth/at doing sth) 尝试、试图、努力，相当于attempt
try|vt. 试用、试做或试验某事物（以看其是否好、是否合适等）
try|vt.＆vi. [正式] 试图或努力（去做某事，或得到某东西）
turn|vi. 开始做（某一活动或某份工作）；开始用（某种做事方式）
twilight|n. [U] the ~ (of sth) 没落时期、衰退期、晚期
ultimate|adj. [只用于名词前] 发生在一个长过程的最终阶段的，即最终的
undertaking|n. [U] 丧葬业、殡仪业
undone|adj. [名词前不常用]（尤指工作）未完成的
up|adj.（时间）到点的，即时间结束的：（一段时间）已结束；已过去
up|adv. [非正式] 用以表明某事正在发生（尤指不寻常或不愉快的事）
up|adv. 以便完结
up|adv. 以便形成
up|adv. 成碎片
up|vi. [非正式或幽默] up and ... 突然移动；突然做意想不到的事
upgrade|vt. [常用被动式]（机器设备、计算机系统等）升级（使其性能更高）
vanish|vi.（莫名其妙地）突然消失
vault|n. [C]（通常指安葬同一家族死者的）（教堂的）地下墓室，或（坟地的）墓穴
vigil|n. [C, U] 夜间祷告或守灵
wage|vt. wage sth (against/on sb/sth) 发动、进行一场战争、战斗等
wagon|n. [sing.] be/go on the wagon [非正式] 短期或永久地戒酒
wait|n. [usually sing.] wait (for sb/sth) 等待，等候；花费在等待上的时间
wait|vt.＆vi. wait (for sb/sth) 呆在某地（或推迟做某事）直到…到来（或直到某事发生），即等待，等候
wake|n. [C]（尤指葬礼前的）守夜，守灵
walk|vi. [文学]（鬼魂）出现，出没，显灵
walk|vi. [非正式] 消失，不翼而飞，被盗走
wall|n. [C]（阻止人前进或进步的）屏障；隔阂；壁垒
wean|vt. ~ sb/sth (off/from sth) 使（婴儿或动物幼崽）断奶
wear|n. [U] 某事物所经历的长期的使用量或使用形式，如耐用性；经久性等
