abashed|adj. [不用于名词前] 为自己的所作所为感到尴尬而羞愧的
tower|vi. tower over/above 还可表示（在能力、品质等方面）远远胜过或超过其他人或事物
trap|n. [usually sing.] 难以逃脱的一个令人不悦的境地，如困境
trap|vt. 常用被动式，使某人陷入一个危险的地方或困难的处境（其想脱身而不能）
trappings|n. [pl.] [正式，尤贬] ~ (of sth) （权力、财富、地位、工作等带来的）额外实惠
trash|n. [U] [英，非正式，贬] 劣质的物品、文章、想法等
tremendous|adj. 极好的。相当于remarkable
trial|n. [C] trial (to sb) 给某人造成困难或麻烦的经历或人
tribulation|n. [C, U] [文学或幽默] 巨大的麻烦、忧患、苦难、磨难、痛苦
trouble|n. 1 [U, C] trouble (with sb/sth) 问题；忧虑；困难等；造成问题、忧虑或困难等的一种情况
trouble|vt. 常用于礼貌地请求，指打扰某人（因你对其有所请求），相当于bother
troubled|adj.（地方、局势或时间）有很多麻烦或问题的
ultimate|adj. [只用于名词前] 最坏的、令人极其不快的
ultimate|adj. [只用于名词前]（例子）最好的、绝好的
ultimate|n. [sing.] [非正式] the ~ in sth 同类中最好的、最先进的、最伟大等的一个事物
uncomfortable|adj. 处理起来令人不快或困难的，即棘手的，难处理的
undesirable|adj.（某事）有害的；不得人心的
uneasy|adj.（书或音乐）难懂的，晦涩的
uneven|adj. 在竞争或比赛中，一方的表现远比对方好的
unhappy|adj. [正式] 令人不满意的；不想要的
unintelligible|adj. ~ (to sb) 难以理解的；难懂的
unpleasant|adj. 令人不快的
unprecedented|adj.（质量）很高的
upset|n. [U]（尤指意外的）出现一些问题或困难的情况
upturn|n. [usually sing.] ~ (in sth)（某种情况在一段时间内的）改善、好转
useful|adj. useful (to do sth) / useful (to sb) / useful (for sth/for doing sth) 能够帮助你去做（或实现）自己想做的事的，即有用的，有帮助的，有益的
valuable|adj. valuable (to sb/sth) 很有用的，或很重要的，即宝贵的。强调某事物本身的有用性，常指某件物品因其本身的实用价值而“很值钱的”。这种价值能够带来切实的金钱回报（即可以用于售卖或交换），但其真正的价值含量未必能用具体的物质财富数额来衡量
value|n. [U] 有用性或重要性，相当于benefit
vicious|adj. [非正式] 非常糟糕的，如恶劣的、严重的
vintage|adj. 1 [只用于名词前]（葡萄酒）上等的且储存了若干年的
virtue|n. [C, U] 一种吸引人的或有用的品质，如优点、长处、用处，相当于advantage，不如advantage常用（但比beauty常用）
waltz|vi. ~ (through sth)（像跳华尔兹舞一样）轻易完成（或达成）某事
weak|adj. weak point/spot 可指（一个人的性格、行为方面、论点、论据等的）易受攻击或批评之处，或不擅长之处，即弱点；缺点；不足之处；软肋
weakness|n. [C]（一个系统中、某人的性格等所存在的）弱点，缺点，不足
weighted|adj. [名词前不可用] ~ against sb/sth 不利于
weighted|adj. [名词前不可用] ~ towards sb/sth / ~ in favour of sb/sth 有利于
well|adj. 不置于名词前，指状态或情况良好的
well|adv. can/could well 容易地
well|exclamation. 用于表示对自己听到或看到的感到很高兴，且常引出对上述所闻或所见之事件的评论
woe|n. [pl] [旧时或幽默] woes 指某人的麻烦或问题、困难
wonderful|adj. 极好的，精彩的；极令人高兴或愉快的
worsen|vt.&vi.（使）变得更差，即恶化
worth|adj. 不作前置定语，且用法同介词。1 worth sth/doing sth 用于推荐一个行动，因为你认为该行动有用、有趣等，即值得
worth|n. [U] 实际价值或道德价值
worthwhile|adj. worthwhile (to do sth) / worthwhile (doing sth) 站在人的角度，认为…是值得的，值得在其上面花费时间、金钱或努力的，值得费周章的
worthy|adj. 1 worthy (of sb/sth) 值得…的，是一种正式用法。站在事物自身的角度，来阐述该事物值得得到外界怎样的对待。与unworthy相反
worthy|adj. 好的，但不是非常有趣（或令人激动）的
